name,description,category,subcategory,url
mingus,Advanced music theory and notation package,Music Theory and Composition,,https://github.com/bspaans/python-mingus
music21,Toolkit for computer-aided musical analysis,Music Theory and Composition,,https://github.com/cuthbertLab/music21
Musical-scales,Retrieve a scale based on a given mode and starting note.,Music Theory and Composition,,https://github.com/hmillerbakewell/musical-scales
MusicMaker,A Music Maker using Python - Audio Description Language ,Music Theory and Composition,,https://github.com/KausikN/MusicMaker
MusPy,Toolkit for symbolic music generation,Music Theory and Composition,,https://github.com/salu133445/muspy
pychord,Handle and transform musical chords,Music Theory and Composition,,https://github.com/yuma-m/pychord
pyHarmonySearch,Harmony search algorithm for musical composition,Music Theory and Composition,,https://github.com/lanl/pyHarmonySearch
PyTheory,Toolset for music theory concepts like scales and chords,Music Theory and Composition,,https://github.com/kennethreitz/pytheory
scamp,a Suite in Python for Computer-Assisted Music,Music Theory and Composition,,https://github.com/MarcTheSpark/scamp
audioread,cross-library (GStreamer + Core Audio + MAD + FFmpeg) audio decoding for Python,Playback and Streaming,,https://github.com/beetbox/audioread
audiostream,Audio API for streaming raw data to speakers ,Playback and Streaming,,https://github.com/kivy/audiostream
beets,music library manager and MusicBrainz tagger ,Playback and Streaming,,https://github.com/beetbox/beets
discord.py,"Python wrapper for the Discord API, including music streaming capabilities",Playback and Streaming,,https://github.com/Rapptz/discord.py
Mopidy,Extensible music server written in Python,Playback and Streaming,,https://github.com/mopidy/mopidy
Mopidy-YouTube,Mopidy extension for playing music from YouTube,Playback and Streaming,,https://github.com/natumbri/mopidy-youtube
mpv,Python interface to MPV for audio and video playback,Playback and Streaming,,https://github.com/jaseg/python-mpv
MusicBot,Discord music bot written in Python,Playback and Streaming,,https://github.com/just-some-bots/MusicBot
pyAV,Pythonic bindings for FFmpeg's libraries for audio and video processing,Playback and Streaming,,https://github.com/mikeboers/PyAV
pygame.mixer,Pygame module for sound loading and playback,Playback and Streaming,,https://github.com/pygame/pygame
pyglet,Cross-platform windowing and multimedia library,Playback and Streaming,,https://github.com/pyglet/pyglet
pyradio,Command line internet radio player,Playback and Streaming,,https://github.com/coderholic/pyradio
Python-SoundDevice,Play and Record Sound with Python,Playback and Streaming,,https://github.com/spatialaudio/python-sounddevice
Spotipy,Python client for the Spotify Web API,Playback and Streaming,,https://github.com/plamere/spotipy
Audioguide,Program for concatenative sound synthesis,Synthesis and Generation,,https://github.com/benhackbarth/audioguide
ctcsound,Python Bindings for Csound using ctypes. Can be used from python2.x and python3.x as well. ,Synthesis and Generation,,https://github.com/csound/ctcsound
FoxDot,Python-based live coding environment for sound synthesis,Synthesis and Generation,,https://github.com/Qirky/FoxDot
Magenta,"Machine learning for the creative process, including music synthesis",Synthesis and Generation,,https://github.com/magenta/magenta
Mido,MIDI objects for Python,Synthesis and Generation,,https://github.com/mido/mido
musicautobot,Music generation with transformers,Synthesis and Generation,,https://github.com/bearpelican/musicautobot
Nsynth,Neural audio synthesis model,Synthesis and Generation,,https://github.com/tensorflow/magenta/tree/master/magenta/models/nsynth
Pippi,Computer music composition library,Synthesis and Generation,,https://git.sr.ht/~hecanjog/pippi
pyfluidsynth,"Python bindings for FluidSynth, a software synthesizer for audio signals from SoundFonts",Synthesis and Generation,,https://github.com/nwhitehead/pyfluidsynth
PySynth,Simple music synthesizer written in Python,Synthesis and Generation,,https://github.com/mdoege/PySynth
Python-audio,Jupyter notebooks about audio signal processing with Python,Synthesis and Generation,,https://github.com/mgeier/python-audio
Python-musical,Python module for procedural music creation. ,Synthesis and Generation,,https://github.com/wybiral/python-musical
WaveGAN,Generative model for raw audio,Synthesis and Generation,,https://github.com/chrisdonahue/wavegan
An introduction to libROSA for working with audio,"Advanced librosa tutorial covering timeline plotting, spectrograms, time-stretching, remixing.",Tutorials,librosa,https://iq.opengenus.org/introduction-to-librosa/
Visualizing Sounds Using Librosa Machine Learning Library!,Covers graph creation using librosa and matplotlib,Tutorials,librosa,https://www.analyticsvidhya.com/blog/2021/06/visualizing-sounds-librosa/
A Simple Guide to Audio Manipulation with Pydub for Musicians,"Covers merging tracks, introducing effects, and managing silences through simple code instructions.",Tutorials,PyDub,https://www.omnitonal.com/a-simple-guide-to-audio-manipulation-with-pydub-for-musicians/
PyDub: Working with wav files in Python,This article demonstrates installation and various PyDub operations with code examples.,Tutorials,PyDub,https://www.geeksforgeeks.org/working-with-wav-files-in-python-using-pydub/
